model,horizon,slope,slope_method,benchmark,score,release_date
meta_llama_llama_2_70b_chat_hf,93.22800000000001,9.2581,,mock_aime,0.0,
accounts_fireworks_models_llama_v3p3_70b_instruct,85.818,0.9929,,mock_aime,0.0514,
publishers_meta_models_llama_3_1_8b_instruct_maas,69.894,1.1893,,mock_aime,0.025,
gemma_2_27b_it,66.92999999999999,1.3836,,mock_aime,0.0139,2024-06-24
publishers_meta_models_llama_3_1_405b_instruct_maas,63.876,0.6157,,mock_aime,0.0972,
gemini_1_0_pro_001,60.041999999999994,1.3983,,mock_aime,0.0111,2024-02-15
grok_2_1212,54.432,0.517,,mock_aime,0.1153,2024-12-12
gpt_4o_2024_08_06,52.896,0.7065,,mock_aime,0.0639,2024-08-06
qwen_qwen2_5_32b_instruct,48.9,0.639,,mock_aime,0.0736,
gpt_4o_2024_05_13,39.888,0.6375,,mock_aime,0.0625,2024-05-01
allenai_llama_3_1_tulu_3_70b_dpo,36.858,0.7157,,mock_aime,0.0444,
mistral_large_2407,32.562,0.5112,,mock_aime,0.0847,2024-07-24
claude_3_5_sonnet_20240620,31.074,0.572,,mock_aime,0.0653,2024-06-20
claude_2_0,30.402,0.8208,,mock_aime,0.025,2023-07-11
gemini_1_5_flash_8b_001,28.362000000000002,0.6437,,mock_aime,0.0458,2024-10-03
nousresearch_hermes_2_theta_llama_3_70b,24.216,0.7616,,mock_aime,0.025,
claude_3_5_sonnet_20241022,21.792,0.4509,,mock_aime,0.0847,2024-10-22
accounts_fireworks_models_llama_v3p2_90b_vision_instruct,18.0,0.6799,,mock_aime,0.0264,
mistral_large_2411,15.348000000000003,0.4267,,mock_aime,0.0778,2024-11-18
claude_3_opus_20240229,14.76,0.524,,mock_aime,0.0472,2024-02-29
claude_3_5_haiku_20241022,13.662,0.5313,,mock_aime,0.0431,2024-10-22
publishers_meta_models_llama_3_1_70b_instruct_maas,10.356,0.5272,,mock_aime,0.0361,
qwen_qwen2_5_72b_instruct,7.763999999999999,0.3561,,mock_aime,0.0806,
meta_llama_meta_llama_3_8b_instruct,5.586,0.6951,,mock_aime,0.0083,
claude_3_haiku_20240307,4.29,0.5383,,mock_aime,0.0181,2024-03-07
gemini_1_5_flash_001,0.6,0.3048,,mock_aime,0.0389,2024-05-23
mistral_large_2402,0.6,0.3761,,mock_aime,0.0194,2024-02-26
o3_cua,107.394,0.6,,osworld,0.429,
ui_tars_1_5,107.394,0.6,,osworld,0.425,2025-04-17
gemini_2_5_pro_exp,94.64399999999999,0.6,,osworld,0.414,2025-03-28
cua,83.412,0.6,,osworld,0.381,2025-01-23
claude_3_7_sonnet,64.78800000000001,0.6,,osworld,0.345,2025-02-24
ui_tars_72b_dpo,34.446000000000005,0.6,,osworld,0.246,2025-04-17
claude_3_5_sonnet_latest,30.354,0.6,,osworld,0.22,2024-10-22
gpt_4o_2024_11_20,18.312,0.6,,osworld,0.1704,2024-11-20
gpt_4_vision,6.432,0.6,,osworld,0.0769,2023-11-06
qwen_2_5_vl_72b,6.432,0.6,,osworld,0.088,2024-09-19
cogagent_9b,6.432,0.6,,osworld,0.0812,2024-12-20
gemini_pro_vision,4.824,0.6,,osworld,0.058,2024-02-15
gemini_1_5_pro,3.618,0.6,,osworld,0.054,2024-09-24
gpt_4o,2.7119999999999997,0.6,,osworld,0.0503,2024-05-13
gpt_4o_mini,2.7119999999999997,0.6,,osworld,0.0377,2024-07-18
claude_3_opus,1.524,0.6,,osworld,0.0242,2024-03-04
qwen_vl_max_0809,1.524,0.6,,osworld,0.0242,
cogagent,0.0,0.6,,osworld,,2023-12-15
o4_mini,2515.2540000000004,2.3,,livecodebench_2411_2505,0.7937,2025-04-16
grok_3_mini,2203.728,1.58,,livecodebench_2411_2505,0.7253,
gemini_2_5_pro,2184.18,1.7608,,livecodebench_2411_2505,0.7313,
o3_mini_2025_01_31,2083.134,3.7631,,livecodebench_2411_2505,0.7477,2025-01-31
qwen3_235b_a22b,1878.8819999999998,3.236,,livecodebench_2411_2505,0.7023,2025-04-28
gemini_2_5_flash_preview,1736.34,2.2858,,livecodebench_2411_2505,0.6617,2025-03-28
claude_3_7_sonnet,1456.596,2.4033,,livecodebench_2411_2505,0.595,2025-02-24
claude_3_5_sonnet_20241022,1001.1959999999999,2.1686,,livecodebench_2411_2505,0.4507,2024-10-22
gpt_4o_2024_08_06,802.428,2.4776,,livecodebench_2411_2505,0.3653,2024-08-06
gpt_4o_mini_2024_07_18,758.586,2.4686,,livecodebench_2411_2505,0.345,2024-07-18
gpt_4_turbo_2024_04_09,757.278,2.5701,,livecodebench_2411_2505,0.343,2024-04-09
claude_3_haiku,610.71,2.0651,,livecodebench_2411_2505,0.277,2024-03-13
deepseek_v3,513.5699999999999,1.2117,,livecodebench_2411_2505,0.2697,2024-12-26
claude_sonnet_4_20250514,2268.966,0.5061,,swe_bench_verified,0.606,2025-05-22
claude_opus_4_20250514,2268.858,0.603,,swe_bench_verified,0.622,2025-05-22
claude_3_7_sonnet_20250219,1355.6879999999999,0.5072,,swe_bench_verified,0.522,2025-02-24
claude_3_5_sonnet_20241022,725.562,0.6111,,swe_bench_verified,0.406,2024-10-22
gpt_4_1_2025_04_14,652.656,0.4525,,swe_bench_verified,0.41,2025-04-14
grok_3_beta,587.664,0.4988,,swe_bench_verified,0.386,2025-04-09
o3_mini_2025_01_31,563.664,0.5066,,swe_bench_verified,0.378,2025-01-31
o4_mini_2025_04_16,454.092,0.5002,,swe_bench_verified,0.346,2025-04-16
gpt_4_1_mini_2025_04_14,367.308,0.4544,,swe_bench_verified,0.328,2025-04-14
qwen_plus_2025_04_28,354.882,0.6114,,swe_bench_verified,0.28,2025-04-28
claude_3_5_sonnet_20240620,354.072,0.4644,,swe_bench_verified,0.32,2024-06-20
gemini_2_0_flash_001,201.648,0.5415,,swe_bench_verified,0.22,2025-02-05
grok_3_mini_beta,182.244,0.7331,,swe_bench_verified,0.152,
ibm_cuga,116.976,0.6,,webarena,0.617,2025-02-01
operator,94.38,0.6,,webarena,0.581,2025-01-01
jace_ai,84.774,0.6,,webarena,0.571,2024-08-01
scribeagent_gpt_4o,68.39999999999999,0.6,,webarena,0.53,2024-12-01
agentsymbiotic,68.39999999999999,0.6,,webarena,0.521,2025-01-01
learn_by_interact,55.187999999999995,0.6,,webarena,0.48,2025-01-01
agentoccam_judge,49.572,0.6,,webarena,0.457,2024-10-01
webpilot,32.267999999999994,0.6,,webarena,0.372,2024-08-01
gui_api_hybrid_agent,28.985999999999997,0.6,,webarena,0.358,2024-10-01
agent_workflow_memory,28.985999999999997,0.6,,webarena,0.355,2024-09-01
step,26.034,0.6,,webarena,0.335,2024-04-01
tti,15.222,0.6,,webarena,0.261,2025-06-01
browsergym_gpt_4,13.674,0.6,,webarena,0.235,2024-04-01
agenttrek_1_0_32b,12.282,0.6,,webarena,0.224,2025-01-01
gpt_4_auto_eval,9.912,0.6,,webarena,0.202,
gpt_4o_tree_search,9.912,0.6,,webarena,0.192,2024-06-01
autowebglm,8.904,0.6,,webarena,0.182,2024-04-01
nnetnav,7.998,0.6,,webarena,0.163,2025-01-01
gpt_4_0613,6.45,0.6,,webarena,0.149,2023-06-01
gpt_4o_2024_05_13,5.208,0.6,,webarena,0.131,2024-05-01
patel_et_al_2024,3.15,0.6,,webarena,0.0936,2024-05-01
gpt_3_5_turbo_16k_0613,3.15,0.6,,webarena,0.0887,2023-03-01
qwen_1_5_chat_72b,2.364,0.6,,webarena,0.0714,2023-09-01
gemini_pro,2.364,0.6,,webarena,0.0712,2023-12-01
llama3_chat_70b,2.364,0.6,,webarena,0.0702,2024-04-01
synatra_codellama7b,2.364,0.6,,webarena,0.0628,2024-10-01
lemur_chat_70b,1.326,0.6,,webarena,0.053,2023-10-01
agent_flan,1.326,0.6,,webarena,0.0468,2024-03-01
codellama_instruct_34b,1.326,0.6,,webarena,0.0406,2023-08-01
agentlm_70b,1.326,0.6,,webarena,0.0381,
llama3_chat_8b,0.744,0.6,,webarena,0.0332,
codeact_agent,0.744,0.6,,webarena,0.023,
agentlm_13b,0.0,0.6,,webarena,,2023-10-01
mixtral,0.0,0.6,,webarena,,2024-01-01
agentlm_7b,0.0,0.6,,webarena,,2023-10-01
fireact,0.0,0.6,,webarena,,2023-10-01
codellama_instruct_7b,0.0,0.6,,webarena,,2023-08-01
o3_mini_2025_01_31,103030.986,0.1302,,gpqa_diamond,0.7702,2025-01-31
claude_opus_4_20250514,91013.21399999999,0.1263,,gpqa_diamond,0.7626,2025-05-22
gemini_2_5_pro_exp_03_25,45831.486000000004,0.2552,,gpqa_diamond,0.8384,2025-03-25
accounts_fireworks_models_deepseek_r1_0528,21160.11,0.1949,,gpqa_diamond,0.7633,
o4_mini_2025_04_16,18548.952,0.2616,,gpqa_diamond,0.7961,2025-04-16
o3_2025_04_16,13905.114,0.3419,,gpqa_diamond,0.8182,2025-04-16
o1_2024_12_17,8823.678,0.2976,,gpqa_diamond,0.7677,2024-12-05
grok_3_mini_beta,5604.858,0.3553,,gpqa_diamond,0.7551,
accounts_fireworks_models_deepseek_r1,3255.312,0.1767,,gpqa_diamond,0.6673,
claude_sonnet_4_20250514,3099.7799999999997,0.1841,,gpqa_diamond,0.6667,2025-05-22
accounts_fireworks_models_deepseek_v3_0324,2729.19,0.2668,,gpqa_diamond,0.6761,
gpt_4_5_preview_2025_02_27,2666.682,0.3366,,gpqa_diamond,0.6869,2025-02-27
gpt_4_1_2025_04_14,2578.242,0.2497,,gpqa_diamond,0.6692,2025-04-14
